word,sentence,label,source,token_position
up,"Brouwerijen Alken-Maes NV makes great efforts to ensure the provided information is complete, correct, precise and up to date.",1,standalone_up,30
up,"There’s Jaish-e-Mohammad in India, the boy who blew himself up, the 19-year-old boy, was a Kashmiri-Indian boy… His parents said how he was radicalised by some abuse by the security force, so it was an Indian boy, Indian operation, Indian car, Indian explosive.",1,standalone_up,21
up,"To continue leading the field, we need to take this historic step, which will need the efforts of all of us, but which will guarantee the comfort of a new stadium with the most up to date technologies for its users and our sports people.",1,standalone_up,42
up,"was question all the fans were asking before the game and Albion certainly responded with a crucial win to boost them another place up the National 1 table heading in to the new year, meaning they now sit at mid table.",1,standalone_up,28
up,"Following on from Jamie Salters tries last week against Loughborough it seemed that he would continue in the same vein, when the on form Jamie went for the break up the touchline, however, a mistake by Seta Raumakita handed Esher the penalty and stopped Albion’s run for the line.",1,standalone_up,40
up,"The antioxidant activity of EGCG in this tea extract is purportedly up to 100 times more powerful than that of vitamin C or E.
Another ingredient that actively contributes to the weight loss benefits of the tea extracts is the compound catechin polyphenols.",1,standalone_up,23
up,"Chronic, persistent fatigue is a hallmark symptom of fibromyalgia and occurs in up to 90% of fibromyalgia patients.",1,standalone_up,29
up,By moving any scale up 12 frets like this you can play the same pattern and licks an octave higher – useful tip!,1,standalone_up,5
up,Start slow and gradually build it up over time.,1,standalone_up,8
up,"I later looked it up on Wookieepedia, your source for all things Star Wars.",1,standalone_up,5
up,So after some more tender moments of swooshing the Z-95 up my nose we went on with the rest of our evening.,1,standalone_up,16
up,"Keita’s free kick passed through a crowded penalty area before being controlled by Sambou Yatabare, who proceeded to fire home a low volley to put the Eagles 1-0 up.",1,standalone_up,47
up,"And I was up front, and I started to get off because I had to go to the bathroom.",1,standalone_up,4
up,"COLUMBIA, SC (WTAT-TV) – Medical Marijuana is going to be up for debate again today.",1,standalone_up,23
up,"First, he considered using a lift mechanism that would lift a piece of art, or a taxidermy mount (with geese/ducks on it), up away from the the fireplace, showing a flat screen TV hidden behind it.",1,standalone_up,34
up,"Cleaning cabinets floor are available in several types and sizes, roughly 30 40 cm up to 60-90 cm wide or wider.",1,standalone_up,21
up,I can screw my hair up pretty good on the Jeff Goldblum life uh finds a way shirt.,1,standalone_up,6
up,"""(The Riviera) could be teetering and it's best for Las Vegas to have someone owning it who can polish it up and concentrate on the overflow from the big Strip resorts,"" he said.",1,standalone_up,32
up,"Riviera Holdings closed Friday at $12.10, up 20 cents a share or 1.68 percent, on 18,000 shares, triple normal trading volume.",1,standalone_up,15
up,Riviera stock is up 120 percent from its closing price of $5.51 a year ago.,1,standalone_up,7
up,Do telephone us to confirm any special pick up/drop off arrangements.,1,standalone_up,10
up,At our first session there was a good discussion on the variation in the current system and the need to learn from the best to create greater consistency and a levelling up of practice.,1,standalone_up,38
up,The model 832M1 is available in ±25g to ±500g ranges and provides a flat frequency response up to greater than 6kHz.,1,standalone_up,31
up,"Data Backup is a specialty service from BIS Improved Insurance Agency that ensures the safety of your electronic records, documents, and other important files by periodically backing them up for you to our secure server.",1,standalone_up,43
up,Poetry On Wheels: An Event Where All The Budding Poets Meet Up & Read Aloud In The Metro!,1,standalone_up,17
up,"It takes riders, raises them up and drops them into a free fall, Gonzales said.",1,standalone_up,9
up,"Residents are allowed to have up to 2 Pets, cat or dog, maximum 25 pounds.",1,standalone_up,7
up,"The hip flask can be engraved with a role up to 15 characters (e.g. Dad, Brother, Grandfather) and with a message over 2 lines of text, with up to 20 characters per line.",1,standalone_up,40
up,"The hip flask can be engraved with a role up to 15 characters (e.g. Dad, Brother, Grandfather) and with a message over 2 lines of text, with up to 20 characters per line.",1,standalone_up,40
up,"The origin of this is from Shakespeare and means to blow oneself up - a petard was a medieval explosive, and the etymology of petard is from the Latin word pedere; which means to ""break wind"".)",1,standalone_up,18
up,There’s a jubilation to being up there and working together as a unit to vibrate the air and make people dance.,1,standalone_up,11
up,"Boss rj86,tnx a lots 4 d jerseys great job kip it up....Godbless..
Thanks for your comments but i'm retired from patching at the moment.",1,standalone_up,23
up,Customers who choose to participate in the program will receive a FREE blue 95-gallon wheeled cart and information on what can and cannot be recycled on their normal scheduled pick up day.,1,standalone_up,45
up,"With core heights of up to 350 mm, thicknesses of up to 3 mm and lengths of up to 18 m, the cross-section of the belts and punches for joints can be customised, in accordance with the specifications of each project.",1,standalone_up,25
up,"With core heights of up to 350 mm, thicknesses of up to 3 mm and lengths of up to 18 m, the cross-section of the belts and punches for joints can be customised, in accordance with the specifications of each project.",1,standalone_up,25
up,"With core heights of up to 350 mm, thicknesses of up to 3 mm and lengths of up to 18 m, the cross-section of the belts and punches for joints can be customised, in accordance with the specifications of each project.",1,standalone_up,25
up,"The TZ-60 F steel plating for composite concrete-steel decking slabs has high structural performance, crossing spans between supports of up to 5 m and with edge depths of only 20 cm and high fire resistance of up to 120 minutes (R120).",1,standalone_up,58
up,"The TZ-60 F steel plating for composite concrete-steel decking slabs has high structural performance, crossing spans between supports of up to 5 m and with edge depths of only 20 cm and high fire resistance of up to 120 minutes (R120).",1,standalone_up,58
up,"We recently explored new ways to enhance the sensitivity of magnetic nano-sensors and theoretically demonstrated that under optimum design conditions, the sensitivity can be improved by up to a thousand - higher than any of the biosensors currently available on the market.",1,standalone_up,47
up,500% up to €19 or 200% between €20-250.,1,standalone_up,4
up,Therefore it is up to customers to determine there own frequency of testing.,1,standalone_up,5
up,This is a good indication that the device was still providing accurate data up to that date.,1,standalone_up,19
up,The 'KUWTK' star fears that she might not get pregnant after the doctor revealed the news during her check up.,1,standalone_up,28
up,"Khloe, who was accompanied by her sister Kim, visited her doctor for a routine check-up that is set to be aired in an upcoming episode of their show.",1,standalone_up,34
up,"I love making ordinary pizza from scratch but I fancied switching it up this week, so I made a sweet base, chocolate sauce and topped it off with gummy sweets and biscuit crumble!",1,standalone_up,16
up,A dark shade is quite the change up for me as I usually say the brighter the better but it's grown on me.,1,standalone_up,9
up,"Full Theme: 2-hr Game Cave rental (fully decorated inside w/ Minecraft theme), (4) screens Minecraft for up to 16 players, Game Pro manages party, Minecraft character w/ digital photos with all crafters, Minecraft Character cake, (16) Minecraft Gift bags, (16) ""Creeper juice"" drinks, (16) TNT snacks, ""Crafting Block"" snacks, paper goods, & (3) Large pizza.",1,standalone_up,35
